PLAYER_CODE,PLAYER_NAME,TOTAL_PENALTIES,AVERAGE_OVERALL_RATING
20446,Fagner,1280,71.45
20482,Marcos Ceara,1443,71.4545454545455
20645,Mike Havenaar,656,71.7
20694,Shinji Okazaki,2298,75.7058823529412
20720,Robert Cullen,522,64.875
20747,Eiji Kawashima,537,71.2
20771,Akihiro Ienaga,285,70.4
20790,Michihirio Yasuda,361,67.1428571428571
21123,Erik Friberg,1417,63.6774193548387
21161,Amoreirinha,722,65.5384615384615
21164,Thiago Neves,1596,77.7826086956522
21213,Daniel Dunst,120,55.0
21410,Sebastian Leto,1970,72.78125
21414,Oscar Trejo,1858,72.0
21445,Juca,414,72.1666666666667
21446,Hernanes,3315,81.4390243902439
21450,Marc Bertran,912,70.8636363636364
21458,Andre Leone,275,71.8
21528,Mark Burchill,252,57.75
21613,Nikola Kalinic,992,74.1333333333333
21645,David Meul,155,61.1428571428572
21657,Alexandre Di Gregorio,159,58.3333333333333
21726,Ibrahima Conte,1715,68.6333333333333
21744,Bart Goossens,161,54.3333333333333
21751,Mohammed Rabiu,670,66.6875
21753,Tim Matthijs,1123,66.5294117647059
21765,Jop van der Linden,922,66.1428571428571
21776,Gregory Lorenzi,941,64.875
21785,Esteban Solari,211,70.5
21812,Michael Klukowski,400,68.1428571428571
21834,Rachid Farssi,766,62.1538461538462
21849,Chris McCann,1437,67.1785714285714
21853,Dudley Campbell,1224,69.2222222222222
21864,Stephen Quinn,1294,67.3636363636364
21894,Junio Cesar Arcanjo Juninho,360,67.3333333333333
21914,Chris Robertson,634,60.0
21982,Raffaele Schiavi,1593,65.7567567567568
22045,Lee Tomlin,1914,67.0
22096,Giuseppe Aquaro,280,61.8333333333333
22103,Luigi Beghetto,269,58.75
22125,Paulo Lopes,593,70.3636363636364
22126,Hugo Carreira,185,67.6666666666667
22128,Tony,774,67.0526315789474
22130,Hugo Valdir,332,60.8
22131,Hugo Morais,620,66.4444444444444
22134,Rui Borges,122,65.0
22136,Tiago Rosa,96,57.0
22139,Anselmo,490,63.1111111111111
22234,Jose Mari,1069,70.6
22283,Fabrizio Cacciatore,1379,68.0645161290323
22305,Simone Farelli,439,58.3157894736842
22313,Elkin Soto,2113,72.53125
22337,Leandro Castan,1354,77.6
22343,Benjamin Fischer,106,46.0
22355,Lorenzo Del Prete,1344,63.9230769230769
22382,Drissa Diarra,313,62.5
22386,Stefano Ferrario,534,64.5
22418,Peterson Pecanha,123,71.75
22421,Tiago Valente,660,65.5
22427,"Ricardo Pedrinha,27",329,65.0
22428,Cristiano,856,69.3076923076923
22434,Ronny Carlos da Silva,355,67.4
22444,Garry Wood,93,55.0
22514,Rodrigues Saulo,550,66.4444444444444
22519,Carlitos,384,62.2857142857143
22535,Elson,558,70.5555555555556
22543,Radamel Falcao,2222,83.8518518518518
22544,Wason Renteria,2041,71.741935483871
22545,Marcinho,567,74.625
22700,Lorenzo Bucchi,292,55.5
22706,Kostadin Hazurov,348,65.0
22707,Stanislav Manolev,1250,70.3333333333333
22714,Ivan Ivanov,567,69.4285714285714
22732,Janicio Martins,201,65.6666666666667
22764,Martin Skrtel,1247,80.0869565217391
22785,Stilianos Malezas,1353,70.125
22822,Aleksander Seliga,194,66.3333333333333
22824,Dusan Svento,1649,68.6296296296296
22831,Marcel Gecov,815,61.1333333333333
22832,Lukas Jarolim,478,69.2857142857143
22834,Marek Suchy,2817,72.7906976744186
22894,Dean Hammond,1401,66.5769230769231
22924,Neil Alexander,554,68.3529411764706
22928,Glenn Loovens,940,68.25
22929,Joe Ledley,1496,72.6086956521739
22952,Isaac Osbourne,731,62.0555555555556
22959,Luke Varney,1422,66.7083333333333
22962,Ben Williams,929,63.6818181818182
22964,Billy Jones,1459,67.5
22969,Michael Higdon,2179,67.5806451612903
22978,Ross Turnbull,872,69.0909090909091
